,team_id,team_name,total_games,games_started,minutes_played,fg,fga,fgp,fg3,fg3a,fg3p,fg2,fg2a,fg2p,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pf,pts
0,1.0,Atlanta Hawks,35.35294117647059,17.705882352941178,812.2352941176471,5.4941176470588236,12.24705882352941,0.45623529411764707,1.423529411764706,4.417647058823529,0.2807647058823529,4.088235294117647,7.829411764705882,0.5059411764705883,2.447058823529412,3.105882352941176,0.7802941176470588,1.8705882352941174,5.6000000000000005,7.470588235294118,2.876470588235294,1.1294117647058823,1.211764705882353,2.1882352941176473,3.911764705882353,14.86470588235294
1,2.0,Boston Celtics,35.88235294117647,15.882352941176471,766.7647058823529,5.835294117647059,12.029411764705882,0.48270588235294115,1.2999999999999998,3.9705882352941178,0.28394117647058825,4.529411764705882,8.064705882352941,0.5425294117647059,2.347058823529412,3.1,0.7687058823529411,1.588235294117647,5.9411764705882355,7.523529411764706,2.911764705882353,1.2588235294117647,1.1411764705882352,2.105882352941176,3.9411764705882355,15.305882352941175
2,3.0,Brooklyn Nets,33.833333333333336,19.333333333333332,850.3888888888889,5.627777777777777,13.43888888888889,0.42833333333333334,1.55,4.838888888888889,0.24705555555555556,4.083333333333333,8.61111111111111,0.48933333333333334,2.288888888888889,3.0166666666666666,0.6312777777777777,1.338888888888889,5.216666666666667,6.550000000000001,3.9777777777777774,1.35,0.55,2.0833333333333335,2.5555555555555554,15.100000000000001
3,4.0,Charlotte Hornets,34.2,18.466666666666665,832.1333333333333,4.9,10.873333333333333,0.42173333333333335,1.1866666666666668,3.606666666666667,0.2596,3.7133333333333334,7.253333333333333,0.47026666666666667,2.0733333333333333,3.02,0.6648666666666667,1.8533333333333333,4.946666666666667,6.8,2.68,1.0466666666666666,0.6466666666666666,1.82,3.1599999999999997,13.053333333333335
4,5.0,Chicago Bulls,35.529411764705884,16.470588235294116,795.1176470588235,6.158823529411765,13.323529411764707,0.47200000000000003,1.711764705882353,5.223529411764706,0.2761764705882353,4.435294117647059,8.117647058823529,0.5391176470588235,2.2294117647058824,3.135294117647059,0.7141764705882353,2.2529411764705882,4.18235294117647,6.423529411764706,2.658823529411765,1.3823529411764706,0.6647058823529413,1.6647058823529413,3.488235294117647,16.25294117647059
5,6.0,Cleveland Cavaliers,25.94736842105263,14.105263157894736,616.8947368421053,4.678947368421053,10.557894736842105,0.38973684210526316,0.9052631578947368,3.4473684210526314,0.23731578947368423,3.7684210526315787,7.105263157894737,0.45821052631578946,2.6315789473684212,3.289473684210526,0.5654210526315789,1.6789473684210525,7.415789473684211,9.105263157894736,2.442105263157895,2.0894736842105264,0.8315789473684211,2.236842105263158,3.9842105263157896,12.889473684210527
6,7.0,Dallas Mavericks,34.294117647058826,16.11764705882353,779.7647058823529,5.776470588235294,14.399999999999999,0.44611764705882356,1.7411764705882353,4.705882352941177,0.30500000000000005,4.011764705882353,9.694117647058823,0.5,2.176470588235294,2.864705882352941,0.6854117647058824,1.5999999999999999,5.247058823529412,6.841176470588235,3.0647058823529414,0.8176470588235294,0.7764705882352941,1.6470588235294117,2.9941176470588236,15.46470588235294
7,8.0,Denver Nuggets,32.86666666666667,18.333333333333332,809.4,5.48,11.2,0.5367333333333334,1.5599999999999998,3.96,0.3542666666666667,3.94,7.246666666666667,0.4958666666666666,2.8133333333333335,3.8066666666666666,0.7537333333333334,1.7933333333333332,5.3533333333333335,7.166666666666667,3.36,1.0066666666666666,0.8733333333333333,1.72,3.6599999999999997,15.360000000000001
8,9.0,Detroit Pistons,31.0,13.588235294117647,707.8823529411765,5.129411764705883,12.01764705882353,0.40711764705882353,1.7529411764705882,5.364705882352942,0.2958823529411765,3.364705882352941,6.641176470588236,0.4415294117647059,2.2823529411764705,3.2764705882352945,0.6547058823529412,1.0,3.8882352941176466,4.876470588235295,3.2294117647058824,0.8764705882352941,0.5882352941176471,2.4235294117647057,3.0,14.288235294117648
9,10.0,Golden State Warriors,28.5,15.571428571428571,715.0,5.985714285714286,13.464285714285714,0.44185714285714284,1.707142857142857,5.05,0.3267857142857143,4.285714285714286,8.414285714285715,0.4792142857142857,2.435714285714286,3.0142857142857147,0.7042857142857143,1.3642857142857143,4.521428571428571,5.885714285714286,4.121428571428572,1.45,0.6785714285714286,2.5285714285714285,3.392857142857143,16.12142857142857
10,11.0,Houston Rockets,29.375,14.75,732.3125,4.3625,11.7,0.377875,1.8625,7.275,0.229875,2.5125,4.4125,0.482125,1.95,2.5625,0.5835,1.2,4.875,6.08125,2.49375,1.91875,1.1125,2.7375,3.88125,12.55
11,12.0,Indiana Pacers,33.64705882352941,16.176470588235293,782.4705882352941,5.723529411764706,12.870588235294118,0.4510588235294118,1.2647058823529411,4.158823529411765,0.27188235294117646,4.464705882352941,8.723529411764707,0.5229411764705882,1.7823529411764707,2.3705882352941177,0.6527058823529411,1.4705882352941178,4.852941176470588,6.329411764705882,3.3823529411764706,0.9117647058823529,0.9352941176470588,1.6294117647058823,2.888235294117647,14.476470588235294
12,13.0,Los Angeles Clippers,34.46666666666667,15.666666666666666,762.4666666666667,6.28,13.253333333333334,0.46946666666666664,1.9200000000000002,5.173333333333334,0.3402,4.3533333333333335,8.093333333333334,0.5242,2.64,3.3466666666666667,0.6704666666666667,1.5733333333333335,5.5600000000000005,7.173333333333333,3.413333333333333,1.1066666666666667,0.7266666666666667,2.06,3.6199999999999997,17.113333333333333
